 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # WARNING: High-energy factorization with free-atom DF screening.
 #          Absorption, polarization and exchange corrections are
 #          switched off.
 #          Phase shifts are calculated for the bare nucleus.
 #          Scattering amplitudes are not evaluated.
 #
 # Element:  N,  Z =   7,  atomic weight = 1.40067E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 2.57926E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons =  7
 #
 # Total elastic cross section = 2.63876E-19 cm**2 = 9.42320E-03 a0**2
 # 1st transport cross section = 4.39937E-24 cm**2 = 1.57104E-07 a0**2
 # 2nd transport cross section = 1.26025E-23 cm**2 = 4.50043E-07 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  3.30594E-14  1.18057E+03  0.00000E+00  1.0E-05
  1.000E-04  7.61557E-13  3.30593E-14  1.18057E+03  0.00000E+00  1.0E-05
  1.250E-04  1.18994E-12  3.30593E-14  1.18057E+03  0.00000E+00  1.0E-05
  1.500E-04  1.71346E-12  3.30592E-14  1.18057E+03  0.00000E+00  1.0E-05
  1.750E-04  2.33225E-12  3.30591E-14  1.18056E+03  0.00000E+00  1.0E-05
  2.000E-04  3.04617E-12  3.30591E-14  1.18056E+03  0.00000E+00  1.0E-05
  2.250E-04  3.85530E-12  3.30590E-14  1.18056E+03  0.00000E+00  1.0E-05
  2.500E-04  4.75964E-12  3.30589E-14  1.18056E+03  0.00000E+00  1.0E-05
  2.750E-04  5.75917E-12  3.30588E-14  1.18055E+03  0.00000E+00  1.0E-05
  3.000E-04  6.85391E-12  3.30587E-14  1.18055E+03  0.00000E+00  1.0E-05
  3.250E-04  8.04379E-12  3.30586E-14  1.18054E+03  0.00000E+00  1.0E-05
  3.500E-04  9.32893E-12  3.30585E-14  1.18054E+03  0.00000E+00  1.0E-05
  3.750E-04  1.07092E-11  3.30583E-14  1.18053E+03  0.00000E+00  1.0E-05
  4.000E-04  1.21847E-11  3.30582E-14  1.18053E+03  0.00000E+00  1.0E-05
  4.250E-04  1.37554E-11  3.30580E-14  1.18052E+03  0.00000E+00  1.0E-05
  4.500E-04  1.54213E-11  3.30579E-14  1.18052E+03  0.00000E+00  1.0E-05
  4.750E-04  1.71823E-11  3.30577E-14  1.18051E+03  0.00000E+00  1.0E-05
  5.000E-04  1.90386E-11  3.30575E-14  1.18051E+03  0.00000E+00  1.0E-05
  5.250E-04  2.09900E-11  3.30574E-14  1.18050E+03  0.00000E+00  1.0E-05
  5.500E-04  2.30367E-11  3.30572E-14  1.18049E+03  0.00000E+00  1.0E-05
  5.750E-04  2.51785E-11  3.30570E-14  1.18049E+03  0.00000E+00  1.0E-05
  6.000E-04  2.74156E-11  3.30568E-14  1.18048E+03  0.00000E+00  1.0E-05
  6.250E-04  2.97478E-11  3.30565E-14  1.18047E+03  0.00000E+00  1.0E-05
  6.500E-04  3.21752E-11  3.30563E-14  1.18046E+03  0.00000E+00  1.0E-05
  6.750E-04  3.46979E-11  3.30561E-14  1.18045E+03  0.00000E+00  1.0E-05
  7.000E-04  3.73157E-11  3.30558E-14  1.18044E+03  0.00000E+00  1.0E-05
  7.250E-04  4.00286E-11  3.30556E-14  1.18044E+03  0.00000E+00  1.0E-05
  7.500E-04  4.28368E-11  3.30553E-14  1.18043E+03  0.00000E+00  1.0E-05
  7.750E-04  4.57402E-11  3.30550E-14  1.18042E+03  0.00000E+00  1.0E-05
  8.000E-04  4.87388E-11  3.30547E-14  1.18041E+03  0.00000E+00  1.0E-05
  8.250E-04  5.18325E-11  3.30544E-14  1.18040E+03  0.00000E+00  1.0E-05
  8.500E-04  5.50215E-11  3.30541E-14  1.18038E+03  0.00000E+00  1.0E-05
  8.750E-04  5.83057E-11  3.30538E-14  1.18037E+03  0.00000E+00  1.0E-05
  9.000E-04  6.16850E-11  3.30535E-14  1.18036E+03  0.00000E+00  1.0E-05
  9.250E-04  6.51595E-11  3.30532E-14  1.18035E+03  0.00000E+00  1.0E-05
  9.500E-04  6.87293E-11  3.30528E-14  1.18034E+03  0.00000E+00  1.0E-05
  9.750E-04  7.23943E-11  3.30525E-14  1.18033E+03  0.00000E+00  1.0E-05
  1.000E-03  7.61544E-11  3.30521E-14  1.18031E+03  0.00000E+00  1.0E-05
  1.250E-03  1.18991E-10  3.30481E-14  1.18017E+03  0.00000E+00  1.0E-05
  1.500E-03  1.71347E-10  3.30432E-14  1.17999E+03  0.00000E+00  1.0E-05
  1.750E-03  2.33223E-10  3.30373E-14  1.17978E+03  0.00000E+00  1.0E-05
  2.000E-03  3.04617E-10  3.30306E-14  1.17954E+03  0.00000E+00  1.0E-05
  2.250E-03  3.85531E-10  3.30230E-14  1.17927E+03  0.00000E+00  1.0E-05
  2.500E-03  4.75965E-10  3.30145E-14  1.17897E+03  0.00000E+00  1.0E-05
  2.750E-03  5.75917E-10  3.30051E-14  1.17863E+03  0.00000E+00  1.0E-05
  3.000E-03  6.85389E-10  3.29948E-14  1.17827E+03  0.00000E+00  1.0E-05
  3.250E-03  8.04380E-10  3.29836E-14  1.17787E+03  0.00000E+00  1.0E-05
  3.500E-03  9.32891E-10  3.29716E-14  1.17744E+03  0.00000E+00  1.0E-05
  3.750E-03  1.07092E-09  3.29586E-14  1.17697E+03  0.00000E+00  1.0E-05
  4.000E-03  1.21847E-09  3.29448E-14  1.17648E+03  0.00000E+00  1.0E-05
  4.250E-03  1.37554E-09  3.29301E-14  1.17596E+03  0.00000E+00  1.0E-05
  4.500E-03  1.54213E-09  3.29145E-14  1.17540E+03  0.00000E+00  1.0E-05
  4.750E-03  1.71823E-09  3.28980E-14  1.17481E+03  0.00000E+00  1.0E-05
  5.000E-03  1.90386E-09  3.28807E-14  1.17419E+03  0.00000E+00  1.0E-05
  5.250E-03  2.09900E-09  3.28625E-14  1.17354E+03  0.00000E+00  1.0E-05
  5.500E-03  2.30367E-09  3.28434E-14  1.17286E+03  0.00000E+00  1.0E-05
  5.750E-03  2.51785E-09  3.28234E-14  1.17215E+03  0.00000E+00  1.0E-05
  6.000E-03  2.74156E-09  3.28026E-14  1.17140E+03  0.00000E+00  1.0E-05
  6.250E-03  2.97478E-09  3.27809E-14  1.17063E+03  0.00000E+00  1.0E-05
  6.500E-03  3.21752E-09  3.27584E-14  1.16982E+03  0.00000E+00  1.0E-05
  6.750E-03  3.46978E-09  3.27350E-14  1.16899E+03  0.00000E+00  1.0E-05
  7.000E-03  3.73156E-09  3.27107E-14  1.16812E+03  0.00000E+00  1.0E-05
  7.250E-03  4.00286E-09  3.26855E-14  1.16722E+03  0.00000E+00  1.0E-05
  7.500E-03  4.28368E-09  3.26596E-14  1.16630E+03  0.00000E+00  1.0E-05
  7.750E-03  4.57402E-09  3.26328E-14  1.16534E+03  0.00000E+00  1.0E-05
  8.000E-03  4.87388E-09  3.26051E-14  1.16435E+03  0.00000E+00  1.0E-05
